question_id,question_details
37725913-3d01-4e63-ae31-8d88f4e1d6bc,"You are given an incomplete **Item** class.    

Go through the comments in the prefilled code to implement the Item class with the described attributes and methods.

**Points to Note**  
  
 - The output of the testcase **Checking Default Tests** is given by the `default_test` function in the prefilled code.
 - This Coding question does not have the usual input/output testcases. The class defined by you will be tested internally whether the attributes are present or not. So in testcases results you will be shown the rough description of the tests that will be verified.

Solution Code:class Item:
    def __init__(self, name, price, category):
        if price <= 0:
            raise ValueError(""Invalid value for price, got {}"".format(price))
        self.name = name
        self.price = price
        self.category = category

    def get_detail(self):
        return ""{}@{}-{}"".format(self.name, self.price, self.category)


def default_test():
    item = Item(name=""Oreo Biscuits"", price=30, category=""Food"")
    print(item.name)  # prints ""Oreo Biscuits""
    print(item.price)  # prints '30'
    print(item.category)  # prints ""Food""
    print(item.get_detail())  # prints ""Oreo Biscuits@30-Food"""
fcf9916b-5cb4-49e0-baa7-ce4b4cda07ab,"Given a string, write a program to double all the characters in the given string.<hr><b>Input</b><br/><br/>The input will be a single line containing a string.<hr><b>Output</b><br/><br/>The output should be a single line containing a new string with all the characters doubled in the given string.<hr><b>Explanation</b><br/><br/>For example, if the given string is &quot;The&quot;, the output should be &quot;TThhee&quot;.

Solution Code:word = input()

new_word = """"
for character in word:
 new_word = new_word + (character*2)

print(new_word)"
81860568-b701-455c-a818-171be4f37362,"Write a program that reads the student's marks as input and prints PASS or FAIL.</b>If the student has scored more than 50, print PASS.<br/>In all other cases print FAIL.<hr><b>Input</b><br/><br/>The input will be a single line containing a number.<hr><b>Output</b><br/><br/>The output should be a single line containing PASS or FAIL.<hr><b>Explanation</b><br/><br/>In the given example, the student's marks are 85, which is more than 50, so the result should be PASS.<br/>Similarly, if the marks are 45, the result should be FAIL.

Solution Code:marks = int(input())
if marks > 50:
 print(""PASS"")
else:
 print(""FAIL"")"
bc4077cc-a90f-44a0-8440-ccda2d4083f3,"Given the length and breadth of a box, check if it is a Rectangle or Square.<hr><b>Input</b><br/><br/>The first line of input will contain the length of the box.<br/>The second line of input will contain the breadth of the box.<hr><b>Output</b><br/><br/>If the given length and breadth are equal, print &quot;Square&quot;. In all other cases, print &quot;Rectangle&quot;.<hr><b>Explanation</b><br/><br/>For example, if the given length is 6, and the given breadth is 6, the length and breadth are equal. So the output should be &quot;Square&quot;.<br/>Similarly, if the given length is 5, and the breadth is 10, the length and breadth are not equal. So the output should be &quot;Rectangle&quot;.

Solution Code:length = int(input())
breadth = int(input())
if length == breadth:
 print(""Square"")
else:
 print(""Rectangle"")"
671f2c3c-3179-4fdc-be90-72d2612a6ca5,"Write a program to check if the given two numbers are equal.<hr><b>Input</b><br/><br/>The first line of input contains a number.<br/>The second line of input contains a number.<hr><b>Output</b><br/><br/>If the given numbers are equal, print &quot;Equal&quot;. In all other cases, print &quot;Not Equal&quot;.<hr><b>Explanation</b><br/><br/>For example, if the first number is 5 and the second number is 5. Since both the given numbers are equal. So the output should be &quot;Equal&quot;.<br/>Whereas, if the first number is 10 and the second number is 5, both the numbers are not equal. So the output should be &quot;Not Equal&quot;.

Solution Code:first_number = int(input())
second_number = int(input())
if first_number == second_number:
 print(""Equal"")
else:
 print(""Not Equal"")"
afadbb96-c3b3-4a92-ae82-7fffb284dafb,"Write a program that reads the age of a person and checks if the age of the person is **greater than or equal to 18** for eligibility to vote.

Print **Eligible** if the age of the person is **greater than or equal to 18**, otherwise print **Not Eligible**.

---

#### Input

The input will be a single line containing an integer.

---

#### Output

The output should be a single line containing a string. **Eligible** should be printed if the age of the person is **greater than or equal to 18**, otherwise **Not Eligible** should be printed.

---

#### Explanation

For example, 

If the given age of a person is **15**, the output should be **Not Eligible** as **15** is not greater than or equal to **18**.

If the given age of a person is **21**, the output should be **Eligible** as **21** is greater than **18**.

Solution Code:age = int(input())

if age >= 18:
 print(""Eligible"")
else:
 print(""Not Eligible"")"
35f98200-e8ef-43ca-bde1-cf7213459fd3,"Write a program that prints a simple triangle using star (\*).

---

#### Explanation

Print a star on the first line and two stars on the second line.

<MultiLineNote>
There is a space after every star
</MultiLineNote>

Solution Code:print(""* "")
print(""* "" * 2)"
668f2ab1-abc7-49da-a7bb-057e0d124c16,"A list `L` is given in the prefilled code.

Given a number `N`, write a program that prints the list by repeating the prefilled list `N` times.

```
L = [1, ""two"", ""3"", 4.0]
```

---

#### Input

The input will be a single line containing an integer representing `N`.

---

#### Output

The output should be a single line containing a list obtained by repeating the prefilled list `N` times.

---

#### Explanation

For example, if the given number is `N = 2`,

- The elements in the given prefilled list `L` are **1**, **""two""**, **""3""**, and **4.0**.
- The prefilled list should be repeated **2** times.
- After repeating the prefilled list, the elements in the list are **1**, **""two""**, **""3""**, **4.0**, **1**, **""two""**, **""3""**, and **4.0**.

The output should be,

```
[1, 'two', '3', 4.0, 1, 'two', '3', 4.0]
```


Solution Code:L = [1, ""two"", ""3"", 4.0]

number_of_times = int(input())

resultant_list = L * number_of_times

print(resultant_list)"
37f5f67a-f211-442d-babe-10e265bd5102,"Given a string, write a program to convert the string into a list.<hr><b>Input</b><br/><br/>The input will be a single line containing a string.<hr><b>Output</b><br/><br/>The output should be a single line containing a list with all the characters in the given string.<hr><b>Explanation</b><br/><br/>For example, if the given string is &quot;Python&quot;, the output should be <br/><pre style=""font-family: Roboto Mono,Lucida Sans Typewriter,Lucida Console,monaco,Courrier,monospace;font-size: .85em;margin: 1.2em 0;""><code style=""font-family: Roboto Mono,Lucida Sans Typewriter,Lucida Console,monaco,Courrier,monospace;font-size: inherit;background-color: rgba(228, 237, 255,.5);border-radius: 0px;padding: 1em;display: block;-webkit-text-size-adjust: none;overflow-x: auto;white-space: pre;"">['P', 'y', 't', 'h', 'o', 'n']
</code></pre>

Solution Code:word = input()
word_list = list(word)
print(word_list)"
b5559b53-cb66-4779-a6a7-5fb24cb24417,"For this problem, the prefilled code will contain a list. Write a program to print the element at the given index location.<hr><b>Input</b><br/><br/>The first line of input will contain a positive integer.<hr><b>Output</b><br/><br/>The output should be a single line containing the list element at the given index.<hr><b>Explanation</b><br/><br/>For example, if the given index location is 4, the element at index 4 in the list is &quot;Green&quot;. So the output should be &quot;Green&quot;.

Solution Code:color_list = [""Red"", ""Orange"", ""Yellow"", ""Pink"", ""Green"", ""Blue"", ""Purple"", ""Black"", ""White""]

index = int(input())
print(color_list[index])"
